i,perc,n,acc,cor,alpha
15,0.1,568,0.426056338028169,0.0005335483088714241,-0.0035846025702046536
15,0.1473684210526316,891,0.4119718309859155,0.11906451381110933,0.11046365037120043
15,0.19473684210526315,1138,0.4647887323943662,0.16173145006834933,0.15553191489361695
15,0.24210526315789474,1446,0.4823943661971831,0.2700593961888053,0.255103814045307
15,0.2894736842105263,1738,0.5211267605633803,0.3577947856951599,0.3478884523932597
15,0.33684210526315794,2046,0.5,0.290912197919043,0.2782586558044806
15,0.38421052631578945,2305,0.528169014084507,0.31856189547146685,0.306905506035958
15,0.43157894736842106,2642,0.5070422535211268,0.3099682718034666,0.29258580871227213
15,0.4789473684210527,2936,0.5035211267605634,0.2413250760739557,0.23221729548894143
15,0.5263157894736842,3191,0.5316901408450704,0.36130005290080097,0.3468266938141291
15,0.5736842105263158,3471,0.5105633802816901,0.32028892036448814,0.3051047147006847
15,0.6210526315789474,3729,0.5598591549295775,0.36020523808830535,0.35081781580271776
15,0.6684210526315789,4078,0.5492957746478874,0.3475627080236924,0.339025390074556
15,0.7157894736842105,4261,0.5387323943661971,0.3386861536221074,0.3242928234677841
15,0.7631578947368421,4639,0.5598591549295775,0.38171873064037953,0.36970338983050854
15,0.8105263157894737,4902,0.5492957746478874,0.3951968932219549,0.3856372484545575
15,0.8578947368421053,5132,0.5633802816901409,0.3657341008202748,0.354066985645933
15,0.9052631578947369,5465,0.5669014084507042,0.3946965089683648,0.3860955456358629
15,0.9526315789473684,5760,0.5669014084507042,0.4124423836010115,0.403680981595092
15,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
16,0.1,601,0.4471830985915493,0.14750013450100075,0.1330333117442427
16,0.1473684210526316,873,0.4612676056338028,0.22142324197949745,0.18249227600411944
16,0.19473684210526315,1153,0.4612676056338028,0.2669842911819748,0.260113092648978
16,0.24210526315789474,1439,0.4894366197183099,0.2748785986148535,0.2637404040879763
16,0.2894736842105263,1747,0.4753521126760563,0.23660961076809991,0.21894996844612435
16,0.33684210526315794,2081,0.5070422535211268,0.3549129660606377,0.34003673527056943
16,0.38421052631578945,2309,0.4964788732394366,0.3389201380329559,0.3264290312518665
16,0.43157894736842106,2675,0.49295774647887325,0.29823648749097736,0.2865645409335117
16,0.4789473684210527,2894,0.5387323943661971,0.3924922660711357,0.37571243523316067
16,0.5263157894736842,3158,0.5070422535211268,0.3055283099845855,0.29278109248019746
16,0.5736842105263158,3480,0.5176056338028169,0.3386735975877614,0.33054487904137464
16,0.6210526315789474,3751,0.5176056338028169,0.3436506324239002,0.33171433012123097
16,0.6684210526315789,4063,0.5352112676056338,0.3568116905612842,0.34326073064224083
16,0.7157894736842105,4359,0.5246478873239436,0.3639122735624027,0.3544265364471322
16,0.7631578947368421,4675,0.5704225352112676,0.4319083454980609,0.4192833251225141
16,0.8105263157894737,4854,0.5528169014084507,0.38857585603174477,0.3769595380984272
16,0.8578947368421053,5173,0.5845070422535211,0.4356408065592379,0.42563375288069494
16,0.9052631578947369,5455,0.545774647887324,0.3780146241046845,0.3699802253680279
16,0.9526315789473684,5780,0.5598591549295775,0.411676185285231,0.40315789473684216
16,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
17,0.1,597,0.4295774647887324,0.18168282856799903,0.16721183524319727
17,0.1473684210526316,866,0.4507042253521127,0.1893787621619252,0.17524586960769417
17,0.19473684210526315,1203,0.4894366197183099,0.29444996704813864,0.2731747391978697
17,0.24210526315789474,1485,0.49295774647887325,0.2080890791061675,0.1964285714285714
17,0.2894736842105263,1698,0.4647887323943662,0.20895758789394803,0.20298003935901032
17,0.33684210526315794,2030,0.4753521126760563,0.23303871882794944,0.22320904336089076
